,nodes,graph_id
0,t0,0
1,t1,0
2,t2,0
3,t3,0
4,t4,0
5,t5,0
6,t6,0
7,t7,0
8,t8,0
9,t9,0
10,t10,0
11,t11,0
12,t12,0
13,t13,0
14,t14,0
15,t15,0
16,t16,0
17,t17,0
18,t18,0
19,t19,0
20,t20,0
21,t21,0
22,t22,0
23,t23,0
24,t24,0
25,t25,0
26,t26,0
27,t27,0
28,t28,0
29,t29,0
30,t30,0
31,t31,0
32,t32,0
33,t33,0
34,t34,0
35,t35,0
36,t36,0
37,t37,0
38,t38,0
39,t39,0
40,t40,0
41,t41,0
42,t42,0
43,t43,0
44,t44,0
45,t45,0
46,t46,0
47,t47,0
48,t48,0
49,t49,0
50,t50,0
51,t51,0
52,t52,0
53,t53,0
54,t54,0
55,t55,0
56,t56,0
57,t57,0
58,t58,0
59,t59,0
60,t60,0
61,t61,0
62,t62,0
63,t63,0
64,t64,0
65,t65,0
66,t66,0
67,t67,0
68,t68,0
69,t69,0
70,t70,0
71,t71,0
72,t72,0
73,t73,0
74,t74,0
75,t75,0
76,t76,0
77,t77,0
78,t78,0
79,t79,0
80,t80,0
81,t81,0
82,t82,0
83,t83,0
84,t84,0
85,t85,0
86,t86,0
87,t87,0
88,t88,0
89,t89,0
90,t90,0
91,t91,0
92,t92,0
93,t93,0
94,t94,0
95,t95,0
96,t96,0
97,t97,0
98,t98,0
99,t99,0
100,t100,0
101,t101,0
102,t102,0
103,t103,0
104,t104,0
105,t105,0
106,t106,0
107,t107,0
108,t108,0
109,t109,0
110,t110,0
111,t111,0
112,t112,0
113,t113,0
114,t114,0
115,t115,0
116,t116,0
117,t117,0
118,t118,0
119,t119,0
120,t120,0
121,t121,0
122,t122,0
123,t123,0
124,t124,0
125,t125,0
126,t126,0
127,t127,0
128,t128,0
129,t129,0
130,t130,0
131,t131,0
132,t132,0
133,t133,0
134,t134,0
135,t135,0
136,t136,0
137,t137,0
138,t138,0
139,t139,0
140,t140,0
141,t141,0
142,t142,0
143,t143,0
144,t144,0
145,t145,0
146,t146,0
147,t147,0
148,t148,0
149,t149,0
150,t150,0
151,t151,0
152,t152,0
153,t153,0
154,t154,0
155,t155,0
156,t156,0
157,t157,0
158,t158,0
159,t159,0
160,t160,0
161,t161,0
162,t162,0
163,t163,0
164,t164,0
165,t165,0
166,t166,0
167,t167,0
168,t168,0
169,t169,0
170,t170,0
171,t171,0
172,t172,0
173,t173,0
174,t174,0
175,t175,0
176,t176,0
177,t177,0
178,t178,0
179,t179,0
180,t180,0
181,t181,0
182,t182,0
183,t183,0
184,t184,0
185,t185,0
186,t186,0
187,t187,0
188,t188,0
189,t189,0
190,t190,0
191,t191,0
192,t192,0
193,t193,0
194,t194,0
195,t195,0
196,t196,0
197,t197,0
198,t198,0
199,t199,0
200,t200,0
201,t201,0
202,t202,0
203,t203,0
204,t204,0
205,t205,0
206,t206,0
207,t207,0
208,t208,0
209,t209,0
210,t210,0
211,t211,0
212,t212,0
213,t213,0
214,t214,0
215,t215,0
216,t216,0
217,t217,0
218,t218,0
219,t219,0
220,t220,0
221,t221,0
222,t222,0
223,t223,0
224,t224,0
225,t225,0
226,t226,0
227,t227,0
228,t228,0
229,t229,0
230,t230,0
231,t231,0
232,t232,0
233,t233,0
234,t234,0
235,t235,0
236,t236,0
237,t237,0
238,t238,0
239,t239,0
240,t240,0
241,t241,0
242,t242,0
243,t243,0
244,t244,0
245,t245,0
246,t246,0
247,t247,0
248,t248,0
249,t249,0
250,t250,0
251,t251,0
252,t252,0
253,t253,0
254,t254,0
255,t255,0
256,t256,0
257,t257,0
258,t258,0
259,t259,0
260,t260,0
261,t261,0
262,t262,0
263,t263,0
264,t264,0
265,t265,0
266,t266,0
267,t267,0
268,t268,0
269,t269,0
270,t270,0
271,t271,0
272,t272,0
273,t273,0
274,t274,0
275,t275,0
276,t276,0
277,t277,0
278,t278,0
279,t279,0
280,t280,0
281,t281,0
282,t282,0
283,t283,0
284,t284,0
285,t285,0
286,t286,0
287,t287,0
288,t288,0
289,t289,0
290,t290,0
291,t291,0
292,t292,0
293,t293,0
294,t294,0
295,t295,0
296,t296,0
297,t297,0
298,t298,0
299,t299,0
300,t300,0
301,t301,0
302,t302,0
303,t303,0
304,t304,0
305,t305,0
306,t306,0
307,t307,0
308,t308,0
309,t309,0
310,t310,0
311,t311,0
312,t312,0
313,t313,0
314,t314,0
315,t315,0
316,t316,0
317,t317,0
318,t318,0
319,t319,0
320,t320,0
321,t321,0
322,t322,0
323,t323,0
324,t324,0
325,t325,0
326,t326,0
327,t327,0
328,t328,0
329,t329,0
330,t330,0
331,t331,0
332,t332,0
333,t333,0
334,t334,0
335,t335,0
336,t336,0
337,t337,0
338,t338,0
339,t339,0
340,t340,0
341,t341,0
342,t342,0
343,t343,0
344,t344,0
345,t345,0
346,t346,0
347,t347,0
348,t348,0
349,t349,0
350,t350,0
351,t351,0
352,t352,0
353,t353,0
354,t354,0
355,t355,0
356,t356,0
357,t357,0
358,t358,0
359,t359,0
360,t360,0
361,t361,0
362,t362,0
363,t363,0
364,t364,0
365,t365,0
366,t366,0
367,t367,0
368,t368,0
369,t369,0
370,t370,0
371,t371,0
372,t372,0
373,t373,0
374,t374,0
375,t375,0
376,t376,0
377,t377,0
378,t378,0
379,t379,0
380,t380,0
381,t381,0
382,t382,0
383,t383,0
384,t384,0
385,t385,0
386,t386,0
387,t387,0
388,t388,0
389,t389,0
390,t390,0
391,t391,0
392,t392,0
393,t393,0
394,t394,0
395,t395,0
396,t396,0
397,t397,0
398,t398,0
399,t399,0
400,t400,0
401,t401,0
402,t402,0
403,t403,0
404,t404,0
405,t405,0
406,t406,0
407,t407,0
408,t408,0
409,t409,0
410,t410,0
411,t411,0
412,t412,0
413,t413,0
414,t414,0
415,t415,0
416,t416,0
417,t417,0
418,t418,0
419,t419,0
420,t420,0
421,t421,0
422,t422,0
423,t423,0
424,t424,0
425,t425,0
426,t426,0
427,t427,0
428,t428,0
429,t429,0
430,t430,0
431,t431,0
432,t432,0
433,t433,0
434,t434,0
435,t435,0
436,t436,0
437,t437,0
438,t438,0
439,t439,0
440,t440,0
441,t441,0
442,t442,0
443,t443,0
444,t444,0
445,t445,0
446,t446,0
447,t447,0
448,t448,0
449,t449,0
450,t450,0
451,t451,0
452,t452,0
453,t453,0
454,t454,0
455,t455,0
456,t456,0
457,t457,0
458,t458,0
459,t459,0
460,t460,0
461,t461,0
462,t462,0
463,t463,0
464,t464,0
465,t465,0
466,t466,0
467,t467,0
468,t468,0
469,t469,0
470,t470,0
471,t471,0
472,t472,0
473,t473,0
474,t474,0
475,t475,0
476,t476,0
477,t477,0
478,t478,0
479,t479,0
480,t480,0
481,t481,0
482,t482,0
483,t483,0
484,t484,0
485,t485,0
486,t486,0
487,t487,0
488,t488,0
489,t489,0
490,t490,0
491,t491,0
492,t492,0
493,t493,0
494,t494,0
495,t495,0
496,t496,0
497,t497,0
498,t498,0
499,t499,0
500,t500,0
501,t501,0
502,t502,0
503,t503,0
504,t504,0
505,t505,0
506,t506,0
507,t507,0
508,t508,0
509,t509,0
510,t510,0
511,t511,0
512,t512,0
513,t513,0
514,t514,0
515,t515,0
516,t516,0
517,t517,0
518,t518,0
519,t519,0
520,t520,0
521,t521,0
522,t522,0
523,t523,0
524,t524,0
525,t525,0
526,sink,0
527,t0,1
528,t1,1
529,t2,1
530,t3,1
531,t4,1
532,t5,1
533,t6,1
534,t7,1
535,t8,1
536,t9,1
537,t10,1
538,t11,1
539,t12,1
540,t13,1
541,t14,1
542,t15,1
543,t16,1
544,t17,1
545,t18,1
546,t19,1
547,t20,1
548,t21,1
549,t22,1
550,t23,1
551,t24,1
552,t25,1
553,t26,1
554,t27,1
555,t28,1
556,t29,1
557,t30,1
558,t31,1
559,t32,1
560,t33,1
561,t34,1
562,t35,1
563,t36,1
564,t37,1
565,t38,1
566,t39,1
567,t40,1
568,t41,1
569,t42,1
570,t43,1
571,t44,1
572,t45,1
573,t46,1
574,t47,1
575,t48,1
576,t49,1
577,t50,1
578,t51,1
579,t52,1
580,t53,1
581,t54,1
582,t55,1
583,t56,1
584,t57,1
585,t58,1
586,t59,1
587,t60,1
588,t61,1
589,t62,1
590,t63,1
591,t64,1
592,t65,1
593,t66,1
594,t67,1
595,t68,1
596,t69,1
597,t70,1
598,t71,1
599,t72,1
600,t73,1
601,t74,1
602,t75,1
603,t76,1
604,t77,1
605,t78,1
606,t79,1
607,t80,1
608,t81,1
609,t82,1
610,t83,1
611,t84,1
612,t85,1
613,t86,1
614,t87,1
615,t88,1
616,t89,1
617,t90,1
618,t91,1
619,t92,1
620,t93,1
621,t94,1
622,t95,1
623,t96,1
624,t97,1
625,t98,1
626,t99,1
627,t100,1
628,t101,1
629,t102,1
630,t103,1
631,t104,1
632,t105,1
633,t106,1
634,t107,1
635,t108,1
636,t109,1
637,t110,1
638,t111,1
639,t112,1
640,t113,1
641,t114,1
642,t115,1
643,t116,1
644,t117,1
645,t118,1
646,t119,1
647,t120,1
648,t121,1
649,t122,1
650,t123,1
651,t124,1
652,t125,1
653,t126,1
654,t127,1
655,t128,1
656,t129,1
657,t130,1
658,t131,1
659,t132,1
660,t133,1
661,t134,1
662,t135,1
663,t136,1
664,t137,1
665,t138,1
666,t139,1
667,t140,1
668,t141,1
669,t142,1
670,t143,1
671,t144,1
672,t145,1
673,t146,1
674,t147,1
675,t148,1
676,t149,1
677,t150,1
678,t151,1
679,t152,1
680,t153,1
681,t154,1
682,t155,1
683,t156,1
684,t157,1
685,t158,1
686,t159,1
687,t160,1
688,t161,1
689,t162,1
690,t163,1
691,t164,1
692,t165,1
693,t166,1
694,t167,1
695,t168,1
696,t169,1
697,t170,1
698,t171,1
699,t172,1
700,t173,1
701,t174,1
702,t175,1
703,t176,1
704,t177,1
705,t178,1
706,t179,1
707,t180,1
708,t181,1
709,t182,1
710,t183,1
711,t184,1
712,t185,1
713,t186,1
714,t187,1
715,t188,1
716,t189,1
717,t190,1
718,t191,1
719,t192,1
720,t193,1
721,t194,1
722,t195,1
723,t196,1
724,t197,1
725,t198,1
726,t199,1
727,t200,1
728,t201,1
729,t202,1
730,t203,1
731,t204,1
732,t205,1
733,t206,1
734,t207,1
735,t208,1
736,t209,1
737,t210,1
738,t211,1
739,t212,1
740,t213,1
741,t214,1
742,t215,1
743,t216,1
744,t217,1
745,t218,1
746,t219,1
747,t220,1
748,t221,1
749,t222,1
750,t223,1
751,t224,1
752,t225,1
753,t226,1
754,t227,1
755,t228,1
756,t229,1
757,t230,1
758,t231,1
759,t232,1
760,t233,1
761,t234,1
762,t235,1
763,t236,1
764,t237,1
765,t238,1
766,t239,1
767,t240,1
768,t241,1
769,t242,1
770,t243,1
771,t244,1
772,t245,1
773,t246,1
774,t247,1
775,t248,1
776,t249,1
777,t250,1
778,t251,1
779,t252,1
780,t253,1
781,t254,1
782,t255,1
783,t256,1
784,t257,1
785,t258,1
786,t259,1
787,t260,1
788,t261,1
789,t262,1
790,t263,1
791,t264,1
792,t265,1
793,t266,1
794,t267,1
795,t268,1
796,t269,1
797,t270,1
798,t271,1
799,t272,1
800,t273,1
801,t274,1
802,t275,1
803,t276,1
804,t277,1
805,t278,1
806,t279,1
807,t280,1
808,t281,1
809,t282,1
810,t283,1
811,t284,1
812,t285,1
813,t286,1
814,t287,1
815,t288,1
816,t289,1
817,t290,1
818,t291,1
819,t292,1
820,t293,1
821,t294,1
822,t295,1
823,t296,1
824,t297,1
825,t298,1
826,t299,1
827,t300,1
828,t301,1
829,t302,1
830,t303,1
831,t304,1
832,t305,1
833,t306,1
834,t307,1
835,t308,1
836,t309,1
837,t310,1
838,t311,1
839,t312,1
840,t313,1
841,t314,1
842,t315,1
843,t316,1
844,t317,1
845,t318,1
846,t319,1
847,t320,1
848,t321,1
849,t322,1
850,t323,1
851,t324,1
852,t325,1
853,t326,1
854,t327,1
855,t328,1
856,t329,1
857,t330,1
858,t331,1
859,t332,1
860,t333,1
861,t334,1
862,t335,1
863,t336,1
864,t337,1
865,t338,1
866,t339,1
867,t340,1
868,t341,1
869,t342,1
870,t343,1
871,t344,1
872,t345,1
873,t346,1
874,t347,1
875,t348,1
876,t349,1
877,t350,1
878,t351,1
879,t352,1
880,t353,1
881,t354,1
882,t355,1
883,t356,1
884,t357,1
885,t358,1
886,t359,1
887,t360,1
888,t361,1
889,t362,1
890,t363,1
891,t364,1
892,t365,1
893,t366,1
894,t367,1
895,t368,1
896,t369,1
897,t370,1
898,t371,1
899,t372,1
900,t373,1
901,t374,1
902,t375,1
903,t376,1
904,t377,1
905,t378,1
906,t379,1
907,t380,1
908,t381,1
909,t382,1
910,t383,1
911,t384,1
912,t385,1
913,t386,1
914,t387,1
915,t388,1
916,t389,1
917,t390,1
918,t391,1
919,t392,1
920,t393,1
921,t394,1
922,t395,1
923,t396,1
924,t397,1
925,t398,1
926,t399,1
927,t400,1
928,t401,1
929,t402,1
930,t403,1
931,t404,1
932,t405,1
933,t406,1
934,t407,1
935,t408,1
936,t409,1
937,t410,1
938,t411,1
939,t412,1
940,t413,1
941,t414,1
942,t415,1
943,t416,1
944,t417,1
945,t418,1
946,t419,1
947,t420,1
948,t421,1
949,t422,1
950,t423,1
951,t424,1
952,t425,1
953,t426,1
954,t427,1
955,t428,1
956,t429,1
957,t430,1
958,t431,1
959,t432,1
960,t433,1
961,t434,1
962,t435,1
963,t436,1
964,t437,1
965,t438,1
966,t439,1
967,t440,1
968,t441,1
969,t442,1
970,t443,1
971,t444,1
972,t445,1
973,t446,1
974,t447,1
975,t448,1
976,t449,1
977,t450,1
978,t451,1
979,t452,1
980,t453,1
981,t454,1
982,t455,1
983,t456,1
984,t457,1
985,t458,1
986,t459,1
987,t460,1
988,t461,1
989,t462,1
990,t463,1
991,t464,1
992,t465,1
993,t466,1
994,t467,1
995,t468,1
996,t469,1
997,t470,1
998,t471,1
999,t472,1
1000,t473,1
1001,t474,1
1002,t475,1
1003,t476,1
1004,t477,1
1005,t478,1
1006,t479,1
1007,t480,1
1008,t481,1
1009,t482,1
1010,t483,1
1011,t484,1
1012,t485,1
1013,t486,1
1014,t487,1
1015,t488,1
1016,t489,1
1017,t490,1
1018,t491,1
1019,t492,1
1020,t493,1
1021,t494,1
1022,t495,1
1023,t496,1
1024,t497,1
1025,t498,1
1026,t499,1
1027,t500,1
1028,t501,1
1029,t502,1
1030,t503,1
1031,t504,1
1032,t505,1
1033,t506,1
